epoch,stage,train_loss,val_loss,val_accuracy,val_balanced_accuracy,seconds
1,head,3.6256919886688364,2.7213041896667685,0.24567243675099867,0.2556008185106881,128.32410216331482
2,head,2.781458357567454,2.5122881561081196,0.3029294274300932,0.3328124890910237,126.11709904670715
3,head,2.515127158198989,2.4670607256349646,0.31158455392809586,0.3418825457972237,125.99091005325317
4,finetune,1.832380979726046,1.2989483166947347,0.5652463382157124,0.5756301742103761,258.73399019241333
5,finetune,1.045288942339757,0.9333898648123607,0.6551264980026631,0.6311575202298906,255.8592712879181
6,finetune,0.8706100210143564,0.892885093722299,0.6677762982689747,0.7050880225465226,260.65412187576294
7,finetune,0.7204476176927161,0.7294924825668018,0.703728362183755,0.7073169136335752,256.85473895072937
8,finetune,0.6400254836606231,0.7371130923575631,0.7390146471371505,0.7344380458817973,261.6377820968628
9,finetune,0.574643098015588,0.7540998509260373,0.7130492676431425,0.7496539661340649,279.89103722572327
10,finetune,0.5272089530159846,0.7551403822856007,0.715046604527297,0.7309887153351403,287.1108810901642
11,finetune,0.46693105772456495,0.6850598114883694,0.7316910785619174,0.7309310189976135,286.51671504974365
12,finetune,0.43770569158178596,0.6784265569737367,0.7336884154460719,0.7375945564399331,285.5570070743561
13,finetune,0.4367844764541797,0.6658547880765443,0.7450066577896138,0.7521650381702997,264.36315178871155
14,finetune,0.3953215810099614,0.6677997264262046,0.7423435419440746,0.766740705914595,260.85091614723206
15,finetune,0.3934780755158668,0.635179578196431,0.751664447403462,0.7483538265529857,260.52628898620605
